Time (s)	mag_x	mag_y	mag_z
1479414249.853173	25.786868	9.447595	-62.443147
1479414249.877242	26.019831	9.406695	-62.795070
1479414249.889133	26.175084	9.599575	-63.130433
1479414249.931199	25.096328	9.729936	-62.789952
1479414249.943191	24.639641	9.789027	-62.215323
1479414249.961181	24.274291	9.836300	-61.755619
1479414249.979147	23.791641	9.337420	-61.948600
1479414249.991187	23.523469	9.129311	-62.172944
1479414250.033167	23.483777	8.454817	-62.557605
1479414250.045221	23.784131	8.630651	-62.449914
1479414250.075071	23.999376	8.538148	-62.505073
1479414250.099193	24.093679	8.326837	-63.086985
1479414250.111337	23.837522	8.528267	-63.293886
1479414250.147090	24.783043	8.614473	-62.624162
1479414250.165118	24.895966	8.412672	-62.713394
1479414250.182925	24.986305	8.251232	-62.784779
1479414250.189142	24.696466	8.329501	-62.771810
1479414250.201285	24.609439	8.668679	-62.901590
1479414250.225224	24.484120	8.880533	-63.088474
1479414250.248937	24.222296	9.455208	-63.084844
1479414250.255095	24.012837	9.914948	-63.081939
1479414250.279103	24.334045	10.148302	-63.063741
1479414250.321198	24.037841	10.104915	-62.895962
1479414250.333225	24.010117	10.019870	-62.790678
1479414250.357059	23.188038	9.897405	-62.386787
1479414250.382521	23.357157	9.487152	-62.716953
1479414250.399107	23.320726	9.249097	-62.927783
1479414250.429336	23.253781	9.998719	-62.993113
1479414250.435049	23.165603	10.142335	-63.078633
1479414250.483208	23.477259	9.855720	-63.534289
1479414250.489072	23.778917	9.889654	-63.511574
1479414250.501085	23.658134	9.985942	-63.143011
1479414250.514009	23.561507	10.062973	-62.848161
1479414250.530839	23.773894	9.709754	-62.472124
1479414250.537084	23.581693	9.634600	-62.661842
1479414250.555102	23.427933	9.574477	-62.813616
1479414250.567078	23.377347	9.872082	-62.444488
1479414250.603132	23.524837	9.941366	-62.074342
1479414250.650897	23.617733	9.838558	-62.406208
1479414250.681106	23.584183	9.791452	-63.013411
1479414250.698646	23.719613	9.699958	-63.094871
1479414250.710995	23.538269	9.903326	-63.580508
1479414250.759356	24.103055	9.705469	-64.257585
1479414250.789090	23.971737	9.751500	-63.605920
1479414250.813314	23.438678	9.518226	-62.698308
1479414250.849036	23.359251	9.367473	-62.428547
