Time (s),mag_x,mag_y,mag_z
1479414262,26.777605,7.155689,-61.963873
1479414262,27.621663,6.404596,-62.013888
1479414262,27.891081,6.229927,-61.944862
1479414262,28.179037,6.021051,-61.679407
1479414262,28.192136,5.923091,-61.677277
1479414262,28.202616,5.844723,-61.675574
1479414262,28.283421,5.851169,-61.884445
1479414262,29.08426,6.538565,-60.985906
1479414262,29.061158,6.337102,-60.842164
1479414262,29.042677,6.175932,-60.72717
1479414262,29.407142,6.0683,-60.940002
1479414262,29.391886,6.168312,-60.595206
1479414262,30.031478,6.0409,-60.66976
1479414262,30.880069,6.064848,-60.70704
1479414263,31.891149,6.708812,-60.663387
1479414263,32.46542,7.164706,-60.724305
1479414263,32.924837,7.529421,-60.77304
1479414263,33.364792,7.613772,-60.461637
1479414263,34.006443,7.542971,-60.492827
1479414263,35.220109,7.579298,-60.958209
1479414263,37.462512,8.465853,-61.194969
1479414263,39.922893,8.826289,-59.851125
1479414263,40.484096,8.720407,-59.654026
1479414263,40.788215,8.773982,-59.77666
1479414263,41.877943,8.228864,-58.817988
1479414263,49.012002,6.672159,-54.221067
1479414263,49.878714,6.759245,-53.370298
1479414263,50.548988,6.859349,-52.577256
1479414263,51.085206,6.939433,-51.942822
1479414263,51.514182,7.003499,-51.435274
1479414263,51.929784,6.985612,-51.519783
1479414263,51.755312,7.178724,-51.657469
1479414263,52.645915,7.597164,-50.931121
1479414263,54.411435,8.207739,-50.085091
1479414263,55.044227,8.294707,-49.808934
1479414263,56.266839,9.481623,-48.866126
1479414263,56.346841,9.30402,-48.429448
1479414263,57.209167,9.688167,-48.486349
1479414263,57.644522,9.824753,-48.319706
1479414263,57.992806,9.519177,-47.765922
1479414263,58.293876,10.219062,-47.14207
1479414263,58.498723,10.315278,-46.358974
1479414263,58.603745,10.257301,-45.987102
1479414263,59.049872,10.28006,-46.180152
1479414263,59.334351,10.505689,-46.264513
1479414263,59.561935,10.686192,-46.332003
1479414263,59.526737,10.761454,-46.315916
1479414263,59.820138,11.314912,-46.416262
1479414263,59.516033,11.471852,-46.593558
1479414264,59.950811,12.040933,-46.505155
1479414264,60.127525,12.26009,-46.174125
1479414264,60.486161,12.504557,-45.839223
1479414264,60.773071,12.70013,-45.571302
1479414264,60.930176,13.202292,-45.567199
1479414264,60.983439,13.258318,-45.774151
